News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
70				 || 			Positive			 || 			"nullPremier, Iain, Rankin, announced, today, July, 10, a, Request, for, Proposals, (RFP), will, be, issued, to, attract, lowcost, and, innovative, solutions, to, supply, 10, per, cent, of, the, provinces, electricity, from, renewab"			 || 			"Premier Iain Rankin announced today, July 10, a Request for Proposals (RFP) will be issued to attract lowcost and innovative solutions to supply 10 per cent of the provinces electricity from renewab "
71				 || 			Neutral			 || 			"nullOTTAWA, rnGood, morning, Here, is, the, latest, news, on, COVID19, and, its, impact, on, Ottawa, rnFast, Facts:rnullirnPremier, Doug, Ford, says, Ontario, will, make, sure, children, return, to, school, in, September/l"			 || 			"OTTAWA  rnGood morning.Here is the latest news on COVID19 and its impact on Ottawa.rnFast Facts:rnullirnPremier Doug Ford says Ontario will make sure children return to school in September/l "
72				 || 			Neutral			 || 			"nullIn, July, 2020, Kansas, City, Chiefs, offensive, lineman, Laurent, DuvernayTardif, became, the, first, NFL, player, to, opt, out, of, the, 2020, NFL, season, DuvernayTardif, opted, instead, to, continue, his, work, at, a, long"			 || 			"In July 2020, Kansas City Chiefs offensive lineman Laurent DuvernayTardif became the first NFL player to opt out of the 2020 NFL season. DuvernayTardif opted instead to continue his work at a long "
73				 || 			Positive			 || 			"nullHALIFAX, rnFor, the, seventh, consecutive, day, New, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Monday, along, with, one, recovery, as, the, active, number, of, cases, in, the, province, drops, to, five, rnIt"			 || 			"HALIFAX  rnFor the seventh consecutive day, New Brunswick is reporting no new cases of COVID19 on Monday, along with one recovery, as the active number of cases in the province drops to five.rnIt  "
74				 || 			Positive			 || 			"nullOngoing, registration, for, national, conservation, program, available, in, 14, citiesrnOTTAWA, July, 20, 2021, (GLOBE, NEWSWIRE), The, Canadian, Wildlife, Federation, (CWF), is, proud, to, announce, its, WILD, Outside, p"			 || 			"Ongoing registration for national conservation program available in 14 citiesrnOTTAWA, July 20, 2021 (GLOBE NEWSWIRE)  The Canadian Wildlife Federation (CWF) is proud to announce its WILD Outside p "
75				 || 			Negative			 || 			"nullIn, this, article, we, will, take, a, look, at, the, 15, most, valuable, weed, companies, in, the, world, You, can, skip, our, detailed, analysis, of, the, weed, industry, and, go, directly, to, the, 5, Most, Valuable, Weed, Companies"			 || 			"In this article we will take a look at the 15 most valuable weed companies in the world. You can skip our detailed analysis of the weed industry, and go directly to the 5 Most Valuable Weed Companies "
76				 || 			Positive			 || 			"nullMONCTON, New, Brunswick(BUSINESS, WIRE)Organigram, Holdings, Inc, (NASDAQ:, OGI), (TSX:, OGI), the, parent, company, of, Organigram, Inc, (together, the, Company, or, Organigram), a, leading, licensed, producer, of"			 || 			"MONCTON, New Brunswick(BUSINESS WIRE)Organigram Holdings Inc. (NASDAQ: OGI) (TSX: OGI), the parent company of Organigram Inc. (together, the Company or Organigram), a leading licensed producer of "
77				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, two, new, cases, of, COVID19, Friday, as, nearly, 57, per, cent, of, the, eligible, population, is, now, fully, vaccinated, rnThe, two, new, cases, are, in, Zone, 1, (Moncton, region), a"			 || 			"HALIFAX  rnNew Brunswick is reporting two new cases of COVID19 Friday as nearly 57 per cent of the eligible population is now fully vaccinated.rnThe two new cases are in Zone 1 (Moncton region) a "
78				 || 			Neutral			 || 			"nullCanada, has, enoughCOVID19, vaccine, dosesto, fully, vaccinate, everyone, eligible, in, the, country, Prime, Minister, Justin, Trudeau, said, inan, announcement, at, aMoncton, N, B, vaccine, clinic, Tuesday, morning"			 || 			"Canada has enoughCOVID19 vaccine dosesto fully vaccinate everyone eligible in the country, Prime Minister Justin Trudeau said inan announcement at aMoncton, N.B.,vaccine clinic Tuesday morning. "
79				 || 			Neutral			 || 			"nullCanada, will, have, 19, swimmers, hitting, the, starting, blocksat, the, Tokyo, 2020, Paralympic, Games, rnOn, Thursday, The, Canadian, Paralympic, Committeeand, Swimming, Canada, announced, Canadas, roster, for, theTok"			 || 			"Canada will have 19 swimmers hitting the starting blocksat the Tokyo 2020 Paralympic Games.rnOn Thursday, The Canadian Paralympic Committeeand Swimming Canada announced Canadas roster for theTok "
80				 || 			Positive			 || 			"nullTorontobased, Clearco, a, fintech, capital, provider, for, online, companies, has, raised, 215, million, in, a, round, led, by, SoftBank, Vision, Fund, II, The, financing, event, closed, just, weeks, after, Clearco, complete"			 || 			"Torontobased Clearco, a fintech capital provider for online companies, has raised 215 million in a round led by SoftBank Vision Fund II. The financing event closed just weeks after Clearco complete "
81				 || 			Negative			 || 			"nullOver, the, weekend, an, international, consortium, of, news, outlets, reported, that, several, authoritarian, governments, including, Mexico, Morocco, and, the, United, Arab, Emirates, used, spyware, developed, by, NSO, Gro"			 || 			"Over the weekend, an international consortium of news outlets reported that several authoritarian governments including Mexico, Morocco, and the United Arab Emirates used spyware developed by NSO Gro "
82				 || 			Positive			 || 			"nullBy, Reuters, StaffrnJuly, 21, (Reuters), Canadas, main, stock, index, opened, higher, on, Wednesday, driven, by, gains, in, energy, stocks, as, improving, risk, appetite, drove, oil, prices, higher, rn, At, 9:32, a, m, ET, (13:"			 || 			"By Reuters StaffrnJuly 21 (Reuters)  Canadas main stock index opened higher on Wednesday, driven by gains in energy stocks as improving risk appetite drove oil prices higher.rn At 9:32 a.m. ET (13: "
83				 || 			Negative			 || 			"nullBy, Reuters, Staffrn(Updates, prices, sectors)rnJuly, 5, (Reuters), Canadas, main, stock, index, fell, on, Monday, as, concerns, over, a, rise, in, coronavirus, infections, globally, led, investors, hold, back, on, trades, w"			 || 			"By Reuters Staffrn(Updates prices, sectors)rnJuly 5 (Reuters)  Canadas main stock index fell on Monday as concerns over a rise in coronavirus infections globally led investors hold back on trades, w "
84				 || 			Positive			 || 			"nullRaducanu, cited, two, of, her, favorite, players, as, Li, Na, and, Simona, Halep, those, two, twotime, major, champions, represent, the, countries, of, Raducanus, origin, Her, father, Ian, is, Romanian, and, her, mother, Rene"			 || 			"Raducanu cited two of her favorite players as Li Na and Simona Halep those two twotime major champions represent the countries of Raducanus origin. Her father, Ian, is Romanian, and her mother, Rene "
85				 || 			Neutral			 || 			"nullIn, the, search, for, extraterrestrial, life, were, usually, the, ones, doingthesnooping, But, Lisa, Kaltenegger, an, astronomer, at, Cornell, University, wanted, to, know, who, out, there, might, be, watching, us, For, whom"			 || 			"In the search for extraterrestrial life, were usually the ones doingthesnooping. But Lisa Kaltenegger, an astronomer at Cornell University, wanted to know who out there might be watching us. For whom "
86				 || 			Positive			 || 			"nullTechnology, often, promises, to, improve, your, life, but, few, gadgets, live, up, to, that, claim, Everything, is, revolutionary, in, this, industry, and, it, can, be, challenging, to, separate, enthusiastic, marketing, from"			 || 			"Technology often promises to improve your life, but few gadgets live up to that claim. Everything is revolutionary in this industry, and it can be challenging to separate enthusiastic marketing from  "
87				 || 			Positive			 || 			"nullYou, may, well, recognize, Cassie, as, the, basis, of, Agility, Robotics, delivery, bot, Digit, If, youve, been, following, the, techs, progression, at, all, however, you, no, doubt, know, that, it, started, life, as, the, ostric"			 || 			"You may well recognize Cassie as the basis of Agility Robotics delivery bot, Digit. If youve been following the techs progression at all, however, you no doubt know that it started life as the ostric "
88				 || 			Positive			 || 			"nullChina, is, one, of, the, worlds, wealthiest, digital, economies, today, with, a, hardware, supply, chain, that, is, unrivaled, and, a, panoply, of, prominent, and, massively, profitable, companies, like, Alibaba, Tencent, and, B"			 || 			"China is one of the worlds wealthiest digital economies today, with a hardware supply chain that is unrivaled and a panoply of prominent and massively profitable companies like Alibaba, Tencent and B "
89				 || 			Neutral			 || 			"nullMusic, publishing, giant, ASCAP, said, today, that, a, quartet, of, earlystage, startups/university, music, projects, will, compete, in, its, Immersive, Music, Studio, Challenge, The, 12week, project, is, a, partnership, bet"			 || 			"Music publishing giant ASCAP said today that a quartet of earlystage startups/university music projects will compete in its Immersive Music Studio Challenge. The 12week project is a partnership bet "
90				 || 			Neutral			 || 			"nullPremier, Iain, Rankin, says, alcohol, played, a, big, part, ofhis, early20s, lifestyle, but, hes, moved, beyond, that, rnI, regret, that, alcohol, was, a, big, part, of, my, life, in, my, early, 20s, and, Ive, moved, on, and, l"			 || 			"Premier Iain Rankin says alcohol played a big part ofhis early20s lifestyle but hes moved beyond that.rnI regret that alcohol was a big part of my life in my early 20s and Ive moved on and l "
91				 || 			Positive			 || 			"nullWork, from, home, a, factor, of, life, in, the, Covid, pandemic, seems, to, have, become, work, from, Himachal, Pradesh, with, thousands, of, people, pouring, into, the, hill, state, to, escape, the, confines, of, their, homes, an"			 || 			"Work from home, a factor of life in the Covid pandemic, seems to have become work from Himachal Pradesh with thousands of people pouring into the hill state to escape the confines of their homes an "
92				 || 			Positive			 || 			"nullTipping, a, popular, cultural, practice, in, Canada, can, have, hidden, consequences, for, food, service, workers, (Shutterstock)rnTipping, is, a, cultural, practice, strongly, supported, in, Canada, with, most, patrons, f"			 || 			"Tipping, a popular cultural practice in Canada, can have hidden consequences for food service workers. (Shutterstock)rnTipping is a cultural practice strongly supported in Canada, with most patrons f "
93				 || 			Negative			 || 			"nullThe, experience, demonstrates, once, again, that, any, collaboration, with, China, can, be, jeopardized, by, Chinese, authorities, with, malign, intent, towards, Canada, rnTom, BlackwellrnCanadas, National, Research"			 || 			"The experience ... demonstrates once again that any collaboration with China can be jeopardized by Chinese authorities with malign intent towards Canada rnTom BlackwellrnCanadas National Research  "
94				 || 			Neutral			 || 			"nullmegaflopp/iStock, via, Getty, ImagesrnNovonix, (OTCQX:NVNXF), is, a, battery, testing, and, early, commercial, stage, synthetic, graphite, materials, company, My, initial, investment, in, Novonix, was, based, on, how, quickl"			 || 			"megaflopp/iStock via Getty ImagesrnNovonix (OTCQX:NVNXF) is a battery testing and early commercial stage synthetic graphite materials company. My initial investment in Novonix was based on how quickl "
95				 || 			Negative			 || 			"nullDespite, an, eviction, notice, saying, people, living, in, crisis, shelters, around, Halifax, had, to, be, out, by, Tuesday, the, citys, mayor, now, says, the, deadline, was, a, preferred, timeline, and, no, forced, evictions, w"			 || 			"Despite an eviction notice saying people living in crisis shelters around Halifax had to be out by Tuesday, the citys mayor now says the deadline was a preferred timeline and no forced evictions w "
96				 || 			Negative			 || 			"nullHALIFAX, rnNova, Scotia, is, reporting, four, new, cases, of, COVID19, on, Sunday, as, the, active, number, of, infections, drops, to, 36, rnAll, four, new, cases, were, identified, in, the, Central, Zone, One, is, travel, relat"			 || 			"HALIFAX  rnNova Scotia is reporting four new cases of COVID19 on Sunday as the active number of infections drops to 36.rnAll four new cases were identified in the Central Zone. One is travel relat "
